model,angle_set,curve,point_index,param_angle_rad,x_over_delta_xq,p_over_delta_pq
QG,A,V_init,36,0.3141592653589793,0.2370938237278632,2.6716957607743472
QG,A,V_init,37,0.32288591161895097,0.23318353404376158,2.6644388493669258
QG,A,V_init,38,0.33161255787892263,0.2292554865307358,2.6569790306253305
QG,A,V_init,39,0.34033920413889424,0.22530998032481203,2.6493168726436402
QG,A,V_init,40,0.3490658503988659,0.22134731589156342,2.6414529589248508
QG,A,V_init,41,0.35779249665883756,0.2173677950032287,2.6333878883364386
QG,A,V_init,42,0.3665191429188092,0.21337172071573085,2.625122275064754
QG,A,V_init,43,0.3752457891787809,0.20935939734559827,2.616656748568249
QG,A,V_init,44,0.3839724354387525,0.20533113044679005,2.6079919535295417
QG,A,V_init,45,0.39269908169872414,0.2012872267874264,2.5991285498063212
QG,A,V_init,46,0.4014257279586958,0.19722799432642776,2.590067212381099
QG,A,V_init,47,0.41015237421866746,0.1931537421900619,2.5808086313098
QG,A,V_init,48,0.4188790204786391,0.1890647806484032,2.5713535116692205
QG,A,V_init,49,0.4276056667386107,0.184961421091704,2.561702573503327
QG,A,V_init,50,0.4363323129985824,0.1808439760066814,2.5518565517684264
QG,A,V_init,51,0.44505895925855404,0.17671275895272007,2.5418161962771944
QG,A,V_init,52,0.4537856055185257,0.17256808453799316,2.531582271641575
QG,A,V_init,53,0.4625122517784973,0.16841026839550421,2.52115555721455
QG,A,V_init,54,0.47123889803846897,0.16423962715905002,2.5105368470307923
QG,A,V_init,55,0.4799655442984406,0.16005647843910814,2.499726949746195
QG,A,V_init,56,0.4886921905584123,0.1558611407986492,2.488726688576288
QG,A,V_init,57,0.49741883681838395,0.15165393372887756,2.4775369012335493
QG,A,V_init,58,0.5061454830783556,0.14743517762490035,2.4661584398636065
QG,A,V_init,59,0.5148721293383273,0.1432051937613285,2.454592170980348
QG,A,V_init,60,0.5235987755982988,0.13896430426781042,2.4428389753999302
QG,A,V_init,61,0.5323254218582705,0.13471283210450008,2.430899748173699
QG,A,V_init,62,0.5410520681182421,0.13045110103746296,2.418775398520033
QG,A,V_init,63,0.5497787143782138,0.12617943561401995,2.406466849755101
QG,A,V_init,64,0.5585053606381855,0.12189816113803131,2.393975039222544
QG,A,V_init,65,0.5672320068981571,0.1176076036451241,2.3813009182220997
QG,A,V_init,66,0.5759586531581288,0.11330808987786303,2.3684454519371516
QG,A,V_init,67,0.5846852994181004,0.10899994726086765,2.355409619361228
QG,A,V_init,68,0.5934119456780721,0.10468350387587788,2.342194413223452
QG,A,V_init,69,0.6021385919380436,0.10035908843676922,2.3288008399129336
QG,A,V_init,70,0.6108652381980153,0.09602703026452022,2.3152299194021375
QG,A,V_init,71,0.619591884457987,0.09168765926213276,2.301482685169202
QG,A,V_init,72,0.6283185307179586,0.08734130588950925,2.2875601841192377
QG,A,V_init,73,0.6370451769779303,0.08298830113828665,2.273463476504604
QG,A,V_init,74,0.6457718232379019,0.07862897650663014,2.259193635844162
QG,A,V_init,75,0.6544984694978736,0.07426366397398812,2.244751748841527
QG,A,V_init,76,0.6632251157578453,0.06989269597581105,2.230138915302308
QG,A,V_init,77,0.6719517620178169,0.0655164053782348,2.215356248050355
QG,A,V_init,78,0.6806784082777885,0.06113512545273206,2.200404872843012
QG,A,V_init,79,0.6894050545377601,0.05674918985073177,2.185285928285389
QG,A,V_init,80,0.6981317007977318,0.05235893257821084,2.1700005657436474
QG,A,V_init,81,0.7068583470577035,0.047964687970258296,2.1545499492573263
QG,A,V_init,82,0.7155849933176751,0.04356679066561395,2.13893525545069
QG,A,V_init,83,0.7243116395776468,0.03916557558118472,2.123157673443127
QG,A,V_init,84,0.7330382858376184,0.03476137788653935,2.107218404758591
QG,A,V_init,85,0.7417649320975901,0.03035453297838378,2.091118663234106
QG,A,V_init,86,0.7504915783575618,0.025945376455019514,2.0748596749273203
QG,A,V_init,87,0.7592182246175333,0.02153424409078661,2.058442678023143
QG,A,V_init,88,0.767944870877505,0.01712147181049295,2.0418689227394493
QG,A,V_init,89,0.7766715171374766,0.012707395663832416,2.0251396712318717
QG,A,V_init,90,0.7853981633974483,0.008292351799793457,2.008256197497683
QG,A,V_init,91,0.7941248096574199,0.0038766764410597676,1.9912197872787745
QG,A,V_init,92,0.8028514559173916,-0.0005392941415940378,1.974031737963744
QG,A,V_init,93,0.8115781021773633,-0.004955223654911078,1.9566933584890933
