level,Omega_q_over_2pi_Hz,T_K
0.0,0.5613274763150736,0.00011693048782411531
0.0,0.5736152510448681,0.00011503470921695717
0.0,0.5861720120868973,0.00011316302792315893
0.0,0.5990036477030934,0.00011131545661186912
0.0,0.6121161750527598,0.00010949298795884212
0.0,0.6255157430142075,0.00010769536679132431
0.0,0.6392086350681574,0.00010592336480016934
0.0,0.6532012722442645,0.00010417690924549504
0.0,0.6675002161321413,0.00010245639274275697
0.0,0.6821121719582924,0.00010076187697273066
0.0,0.6970439917304095,9.909373548453952e-05
0.0,0.7123026774504939,9.745210077908136e-05
0.0,0.7278953843983154,9.583678725330253e-05
0.0,0.7438294244867486,9.424786792488307e-05
0.0,0.760112269690562,9.268591353171578e-05
0.0,0.7767515555502618,9.115032186433937e-05
0.0,0.7937550847526369,8.964152136214793e-05
0.0,0.8111308307896873,8.815919386127947e-05
0.0,0.828886941697645,8.670341084864432e-05
0.0,0.8470317438778469,8.527395782102452e-05
0.0,0.8655737460012448,8.387078853311888e-05
0.0,0.8845216429983934,8.249371868461463e-05
0.0,0.9038843201367757,8.114254505153493e-05
0.0,0.9236708571873865,7.981720320498889e-05
0.0,0.9438905326825227,7.851742719356344e-05
0.0,0.9645528282667818,7.724300987423265e-05
0.0,0.9856674331433043,7.599353731407036e-05
0.0,1.0072442486173447,7.476878222582311e-05
0.0,1.0292933927393115,7.356879609014207e-05
0.0,1.051825205049435,7.239289219070884e-05
0.0,1.0748502514263065,7.124103949958767e-05
0.0,1.0983793290415558,7.011247868385217e-05
0.0,1.1224234714229804,6.900742380332125e-05
0.0,1.146993953628518,6.792535075142344e-05
0.0,1.1721022975334805,6.686551219332933e-05
0.0,1.197760277233519,6.582830111084281e-05
0.0,1.223979924565872,6.481274745351274e-05
0.0,1.2507735347514783,6.381834099100498e-05
0.0,1.2781536721605873,6.284528901330302e-05
0.0,1.306133176204591,6.189293951369016e-05
0.0,1.3347251673568366,6.0961003475977645e-05
0.0,1.363943053305219,6.004902708950244e-05
0.0,1.3938005352394818,5.9156026277393273e-05
0.0,1.4243116142761267,5.828267505780706e-05
0.0,1.4554905980239854,5.742782652493758e-05
0.0,1.4873521072935119,5.659169393696309e-05
0.0,1.5199110829529345,5.5772881379307755e-05
0.0,1.5531827929345066,5.497194678353783e-05
0.0,1.5871828393941239,5.418817321327495e-05
0.0,1.621927166027662,5.3421349712377874e-05
0.0,1.6574320655474821,5.2670696163680226e-05
0.0,1.693714187322604,5.193646777474856e-05
0.0,1.7307905451861096,5.1218368567102676e-05
0.0,1.7686785254134796,5.0514432270984135e-05
0.0,1.8073958948755562,4.982556053113534e-05
0.0,1.8469608093699954,4.915151656723667e-05
0.0,1.8873918221350976,4.849138555451744e-05
0.0,1.928707892549999,4.784638640461269e-05
0.0,1.9709283950253265,4.7213934603375706e-05
0.0,2.0140731280884783,4.6594164647740566e-05
0.0,2.0581623236677666,4.598818473297095e-05
