T_tomo_K,Omega_q_over_2pi_Hz,curve,point_index,param_angle_rad,X_q,P_q
0.001,0.1,sn_init,69,0.6021385919380436,-0.07709754058524246,1.8171015077285282
0.001,0.1,sn_init,70,0.6108652381980153,-0.07325041036011426,1.8396172631299101
0.001,0.1,sn_init,71,0.619591884457987,-0.0693977018326366,1.8619929245543374
0.001,0.1,sn_init,72,0.6283185307179586,-0.06553970840148032,1.8842267880085608
0.001,0.1,sn_init,73,0.6370451769779303,-0.06167672386778186,1.9063171602977966
0.001,0.1,sn_init,74,0.6457718232379019,-0.05780904241276985,1.9282623591546693
0.001,0.1,sn_init,75,0.6544984694978736,-0.05393695857536121,1.9500607133673207
0.001,0.1,sn_init,76,0.6632251157578453,-0.050060767229731656,1.971710562906682
0.001,0.1,sn_init,77,0.6719517620178169,-0.04618076356285944,1.9932102590528908
0.001,0.1,sn_init,78,0.6806784082777885,-0.042297243052045824,2.0145581645208446
0.001,0.1,sn_init,79,0.6894050545377601,-0.038410501442413314,2.0357526535848915
0.001,0.1,sn_init,80,0.6981317007977318,-0.03452083472438372,2.0567921122026305
0.001,0.1,sn_init,81,0.7068583470577035,-0.030628539111136915,2.0776749381378314
0.001,0.1,sn_init,82,0.7155849933176751,-0.026733911016053713,2.0983995410824474
0.001,0.1,sn_init,83,0.7243116395776468,-0.022837247030141977,2.1189643427777263
0.001,0.1,sn_init,84,0.7330382858376184,-0.018938843899450997,2.139367777134398
0.001,0.1,sn_init,85,0.7417649320975901,-0.015038998502472312,2.1596082903519416
0.001,0.1,sn_init,86,0.7504915783575618,-0.011138007827531798,2.1796843410369116
0.001,0.1,sn_init,87,0.7592182246175333,-0.007236168950172761,2.1995944003203207
0.001,0.1,sn_init,88,0.767944870877505,-0.0033337790105320564,2.2193369519740695
0.001,0.1,sn_init,89,0.7766715171374766,0.0005688648092874449,2.238910492526413
0.001,0.1,sn_init,90,0.7853981633974483,0.004471465307849337,2.2583135313764564
0.001,0.1,sn_init,91,0.7941248096574199,0.008373725287016048,2.2775445909076693
0.001,0.1,sn_init,92,0.8028514559173916,0.012275347574581902,2.2966022066004115
0.001,0.1,sn_init,93,0.8115781021773633,0.01617603504690407,2.3154849271434643
0.001,0.1,sn_init,94,0.8203047484373349,0.020075490651529304,2.334191314544551
0.001,0.1,sn_init,95,0.8290313946973066,0.02397341742981604,2.352719944239846
0.001,0.1,sn_init,96,0.8377580409572782,0.027869518539548638,2.3710694052024612
0.001,0.1,sn_init,97,0.8464846872172498,0.03176349727754313,2.389238300049902
0.001,0.1,sn_init,98,0.8552113334772214,0.03565505710224268,2.4072252451504816
0.001,0.1,sn_init,99,0.8639379797371931,0.039543901656299674,2.425028870728692
0.001,0.1,sn_init,100,0.8726646259971648,0.04342973478914505,2.4426478209695146
0.001,0.1,sn_init,101,0.8813912722571364,0.04731226057954127,2.4600807541216754
0.001,0.1,sn_init,102,0.8901179185171081,0.051191183358117454,2.4773263425998198
0.001,0.1,sn_init,103,0.8988445647770797,0.055066207729886185,2.4943832730856164
0.001,0.1,sn_init,104,0.9075712110370514,0.05893703859673877,2.5112502466277697
0.001,0.1,sn_init,105,0.9162978572970231,0.06280338117991821,2.527925978740942
0.001,0.1,sn_init,106,0.9250245035569946,0.06666494104246767,2.5444091995035696
0.001,0.1,sn_init,107,0.9337511498169663,0.07052142411165283,2.5606986536545735
0.001,0.1,sn_init,108,0.9424777960769379,0.07437253670135721,2.576793100688955
0.001,0.1,sn_init,109,0.9512044423369096,0.07821798553444678,2.5926913149522584
0.001,0.1,sn_init,110,0.9599310885968813,0.08205747776510461,2.608392085733915
0.001,0.1,sn_init,111,0.9686577348568529,0.08589072100113215,2.6238942173594433
0.001,0.1,sn_init,112,0.9773843811168246,0.08971742332621604,2.639196529281499
0.001,0.1,sn_init,113,0.9861110273767962,0.09353729332215854,2.6542978561697863
0.001,0.1,sn_init,114,0.9948376736367679,0.09735004009107018,2.669197047999794
0.001,0.1,sn_init,115,1.0035643198967394,0.10115537327752286,2.6838929701403793
0.001,0.1,sn_init,116,1.0122909661567112,0.10495300309066155,2.6983845034401748
0.001,0.1,sn_init,117,1.0210176124166828,0.10874264032627273,2.7126705443128127
0.001,0.1,sn_init,118,1.0297442586766545,0.11252399638880897,2.726750004820971
0.001,0.1,sn_init,119,1.038470904936626,0.11629678331336568,2.740621812759219
0.001,0.1,sn_init,120,1.0471975511965976,0.1200607137876118,2.7542849117356774
0.001,0.1,sn_init,121,1.0559241974565694,0.1238155011736691,2.7677382612524597
0.001,0.1,sn_init,122,1.064650843716541,0.12756085952994078,2.780980836784912
0.001,0.1,sn_init,123,1.0733774899765127,0.13129650363288736,2.7940116298596394
0.001,0.1,sn_init,124,1.0821041362364843,0.13502214899874715,2.806829648131296
0.001,0.1,sn_init,125,1.090830782496456,0.1387375119052012,2.819433915458166
0.001,0.1,sn_init,126,1.0995574287564276,0.14244230941297958,2.8318234719764903
0.001,0.1,sn_init,127,1.1082840750163994,0.14613625938740832,2.843997374173574
0.001,0.1,sn_init,128,1.117010721276371,0.1498190805198951,2.8559546949596295
0.001,0.1,sn_init,129,1.1257373675363425,0.15349049234935222,2.867694523738387
0.001,0.1,sn_init,130,1.1344640137963142,0.15715021528355436,2.8792159664764307
0.001,0.1,sn_init,131,1.1431906600562858,0.1607979706204308,2.8905181457712894
0.001,0.1,sn_init,132,1.1519173063162575,0.16443348056928986,2.9016002009182515
0.001,0.1,sn_init,133,1.160643952576229,0.1680564682719734,2.9124612879759115
0.001,0.1,sn_init,134,1.1693705988362009,0.17166665782394114,2.923100579830441
0.001,0.1,sn_init,135,1.1780972450961724,0.17526377429528087,2.9335172662585705
0.001,0.1,sn_init,136,1.1868238913561442,0.1788475437516469,2.943710553989302
0.001,0.1,sn_init,137,1.1955505376161157,0.1824176932751197,2.9536796667643075
0.001,0.1,sn_init,138,1.2042771838760873,0.18597395098499078,2.9634238453970534
0.001,0.1,sn_init,139,1.213003830136059,0.189516046058467,2.9729423478306103
0.001,0.1,sn_init,140,1.2217304763960306,0.19304370875129456,2.9822344491941655
0.001,0.1,sn_init,141,1.2304571226560024,0.1965566704183018,2.9912994418582253
0.001,0.1,sn_init,142,1.239183768915974,0.20005466353385634,3.0001366354885
0.001,0.1,sn_init,143,1.2479104151759457,0.20353742171223987,3.008745357098481
0.001,0.1,sn_init,144,1.2566370614359172,0.20700467972793274,3.0171249511006875
0.001,0.1,sn_init,145,1.265363707695889,0.21045617353581314,3.025274779356594
0.001,0.1,sn_init,146,1.2740903539558606,0.2138916402912646,3.0331942212252248
0.001,0.1,sn_init,147,1.2828170002158321,0.21731081837019264,3.0408826736104198
0.001,0.1,sn_init,148,1.2915436464758039,0.22071344738894882,3.048339551006764
0.001,0.1,sn_init,149,1.3002702927357754,0.22409926822415946,3.0555642855441723
0.001,0.1,sn_init,150,1.3089969389957472,0.22746802303245933,3.062556327031139
0.001,0.1,sn_init,151,1.3177235852557188,0.23081945527012687,3.0693151429966328
0.001,0.1,sn_init,152,1.3264502315156905,0.2341533097126218,3.0758402187306504
0.001,0.1,sn_init,153,1.335176877775662,0.23746933247402066,3.082131057323412
0.001,0.1,sn_init,154,1.3439035240356338,0.24076727102635181,3.0881871797032034
