Omega_q_over_2pi_Hz,qg_qm_total_delta_h1,qg_qm_total_delta_h2,qg_qm_total_delta_h3,qg_total_delta_h1,qg_total_delta_h2,qg_total_delta_h3,sn_qm_total_delta_h1,sn_qm_total_delta_h2,sn_qm_total_delta_h3,sn_total_delta_h1,sn_total_delta_h2,sn_total_delta_h3,sn_term_SN_delta_h1,sn_term_SN_delta_h2,sn_term_SN_delta_h3,sn_minus_qg_total_delta_h1,sn_minus_qg_total_delta_h2,sn_minus_qg_total_delta_h3
0.011603239495817519,37.632178176543157,-15.616201881512964,13.066299342735539,37.632178176543157,-15.616201881512964,13.066299342735539,37.632178176543157,-15.616201881512964,13.066299342735539,39.422075618529966,-13.77574341213295,1.9193262861079607,1.7898974419868097,1.8404584693800174,-11.146973056627578,1.7898974419868097,1.8404584693800139,-11.146973056627578
0.011761158365617953,36.878658153180474,-15.408082002673392,12.978929498536885,36.878658153180474,-15.408082002673392,12.978929498536885,36.878658153180474,-15.408082002673392,12.978929498536885,38.621086811226284,-13.557250941237136,1.8287453773882516,1.742428658045813,1.85083106143626,-11.150184121148634,1.7424286580458102,1.8508310614362564,-11.150184121148634
0.011921226494635869,36.14020148216629,-15.202715090583172,12.892135351550449,36.14020148216629,-15.202715090583172,12.892135351550449,36.14020148216629,-15.202715090583172,12.892135351550449,37.83510968474237,-13.341654762829871,1.7390488135279443,1.6949082025760798,1.8610603277533073,-11.153086538022505,1.6949082025760802,1.861060327753302,-11.153086538022505
0.01208347313406328,35.416507854287893,-15.000065281317063,12.805913276256295,35.416507854287893,-15.000065281317063,12.805913276256295,35.416507854287893,-15.000065281317063,12.805913276256295,37.063858646737266,-13.128889717379554,1.6502422285564413,1.6473507924493709,1.8711755639375056,-11.155671047699853,1.6473507924493731,1.8711755639375092,-11.155671047699853
0.012247927933197867,34.707282920305097,-14.800097163412612,12.720259666685633,34.707282920305097,-14.800097163412612,12.720259666685633,34.707282920305097,-14.800097163412612,12.720259666685633,36.307050221551911,-12.918910362193156,1.5623316156715032,1.5997673012468179,1.8811868012194566,-11.15792805101413,1.5997673012468141,1.8811868012194566,-11.15792805101413
0.012414620944861114,34.012238173541654,-14.602775772532606,12.635170936361023,34.012238173541654,-14.602775772532606,12.635170936361023,34.012238173541654,-14.602775772532606,12.635170936361023,35.564391260532624,-12.711653376030048,1.4753238748340189,1.5521530869909732,1.8911223965025528,-11.159847061527003,1.5521530869909697,1.8911223965025581,-11.159847061527003
0.012583582630890256,33.331090834763977,-14.408066586193744,12.550643518240216,33.331090834763977,-14.408066586193744,12.550643518240216,33.331090834763977,-14.408066586193744,12.550643518240216,34.835621481303185,-12.507095617208726,1.3892258033663545,1.5045306465392063,1.9009709689850212,-11.161417714873862,1.5045306465392088,1.9009709689850176,-11.161417714873862
0.012754843867704927,32.663563739375647,-14.215935518597657,12.466673864707644,32.663563739375647,-14.215935518597657,12.466673864707644,32.663563739375647,-14.215935518597657,12.466673864707644,34.120467583410026,-12.305158978543329,1.3040439632530871,1.456903844034378,1.9107765400543357,-11.162629901454556,1.4569038440343789,1.9107765400543286,-11.162629901454558
0.012928435951949584,32.009385226710833,-14.026348915446949,12.383258447503906,32.009385226710833,-14.026348915446949,12.383258447503906,32.009385226710833,-14.026348915446949,12.383258447503906,33.418665194075075,-12.10580018343548,1.2197848101978919,1.4092799673642453,1.9205487320114649,-11.163473637306014,1.4092799673642418,1.9205487320114685,-11.163473637306014
0.013104390606212738,31.368289031543252,-13.839273548849381,12.300393757691383,31.368289031543252,-13.839273548849381,12.300393757691383,31.368289031543252,-13.839273548849381,12.300393757691383,32.729969608985293,-11.908969147533485,1.1364584981138419,1.3616805774420428,1.9303044013158939,-11.16393525957754,1.3616805774420406,1.9303044013158956,-11.163935259577542
