T_tomo_K,omega_index,Omega_q_over_2pi_Hz,component,qg_qm_total,qg_total,sn_qm_total,sn_term_SN,sn_total,sn_minus_qg_total
0.0001,5,0.010699271483050974,delta_h2,-5.2582214985601246,-5.2582214985601246,-5.2582214985601246,0.1642676851963003,-5.093953813363825,0.16426768519629942
0.0001,5,0.010699271483050974,delta_h3,2.3983618970632734,2.3983618970632734,2.3983618970632734,-10.08936953065867,-7.691007633595397,-10.08936953065867
0.0001,6,0.010844887443223164,delta_h1,23.210436492404558,23.210436492404558,23.210436492404558,4.82604331218237,28.036479804586925,4.826043312182367
0.0001,6,0.010844887443223164,delta_h2,-5.18942108261508,-5.18942108261508,-5.18942108261508,0.14986062484283025,-5.03956045777225,0.14986062484283025
0.0001,6,0.010844887443223164,delta_h3,2.3825986972339877,2.3825986972339877,2.3825986972339877,-10.087942315479768,-7.70534361824578,-10.087942315479768
0.0001,7,0.01099248522130609,delta_h1,22.74843399264761,22.74843399264761,22.74843399264761,4.792493262473348,27.540927255120955,4.7924932624733465
0.0001,7,0.01099248522130609,delta_h2,-5.121497000746568,-5.121497000746568,-5.121497000746568,0.13329694246132107,-4.988200058285255,0.13329694246131307
0.0001,7,0.01099248522130609,delta_h3,2.3669341454235546,2.3669341454235546,2.3669341454235546,-10.08633002968433,-7.719395884260775,-10.08633002968433
0.0001,8,0.011142091789633182,delta_h1,22.29557634439216,22.29557634439216,22.29557634439216,4.759064239305872,27.054640583698035,4.759064239305875
0.0001,8,0.011142091789633182,delta_h2,-5.054438727557701,-5.054438727557701,-5.054438727557701,0.1146172891351469,-4.939821438422555,0.11461728913514602
0.0001,8,0.011142091789633182,delta_h3,2.3513677169622067,2.3513677169622067,2.3513677169622067,-10.084524519470149,-7.733156802507942,-10.084524519470149
0.0001,9,0.011293734487628495,delta_h1,21.851684235128513,21.851684235128513,21.851684235128513,4.725705359064339,26.577389594192855,4.725705359064342
0.0001,9,0.011293734487628495,delta_h2,-4.988235846849884,-4.988235846849884,-4.988235846849884,0.0938472289652239,-4.894388617884655,0.09384722896522923
0.0001,9,0.011293734487628495,delta_h3,2.3358988882836287,2.3358988882836287,2.3358988882836287,-10.082519762240183,-7.746620873956554,-10.082519762240183
0.0001,10,0.011447441026802778,delta_h1,21.41658181187347,21.41658181187347,21.41658181187347,4.692392064576354,26.108973876449824,4.692392064576353
0.0001,10,0.011447441026802778,delta_h2,-4.922878050965765,-4.922878050965765,-4.922878050965765,0.07107638543437389,-4.85180166553139,0.07107638543437478
0.0001,10,0.011447441026802778,delta_h3,2.320527136950206,2.320527136950206,2.320527136950206,-10.080311164913581,-7.7597840279633745,-10.080311164913581
0.0001,11,0.011603239495817519,delta_h1,20.990096616322397,20.990096616322397,20.990096616322397,4.659018339081565,25.649114955403967,4.65901833908157
0.0001,11,0.011603239495817519,delta_h2,-4.858355140138872,-4.858355140138872,-4.858355140138872,0.046349896024544535,-4.812005244114324,0.0463498960245472
0.0001,11,0.011603239495817519,delta_h3,2.3052519416856074,2.3052519416856074,2.3052519416856074,-10.077890936544467,-7.77263899485886,-10.077890936544467
0.0001,12,0.011761158365617953,delta_h1,20.572059521131962,20.572059521131962,20.572059521131962,4.625538304630176,25.19759782576214,4.6255383046301795
0.0001,12,0.011761158365617953,delta_h2,-4.794657021821582,-4.794657021821582,-4.794657021821582,0.01974322812232998,-4.774913793699248,0.019743228122333534
0.0001,12,0.011761158365617953,delta_h3,2.2900727824022455,2.2900727824022455,2.2900727824022455,-10.075250992223092,-7.785178209820846,-10.075250992223092
0.0001,13,0.011921226494635869,delta_h1,20.162304667329405,20.162304667329405,20.162304667329405,4.591863563306139,24.754168230635543,4.591863563306138
0.0001,13,0.011921226494635869,delta_h2,-4.731773709999357,-4.731773709999357,-4.731773709999357,-0.008668691225253156,-4.740442401224609,-0.008668691225252267
0.0001,13,0.011921226494635869,delta_h3,2.274989140226697,2.274989140226697,2.274989140226697,-10.072383366648276,-7.797394226421581,-10.072383366648278
0.0001,14,0.01208347313406328,delta_h1,19.76066940287009,19.76066940287009,19.76066940287009,4.557964741949462,24.31863414481955,4.557964741949462
0.0001,14,0.01208347313406328,delta_h2,-4.6696953245096395,-4.6696953245096395,-4.6696953245096395,-0.03878385395091044,-4.708479178460546,-0.03878385395090689
0.0001,14,0.01208347313406328,delta_h3,2.2600004975308394,2.2600004975308394,2.2600004975308394,-10.069281208983162,-7.809280711452323,-10.069281208983163
0.0001,15,0.012247927933197867,delta_h1,19.36699422344461,19.36699422344461,19.36699422344461,4.523783119297692,23.890777342742304,4.523783119297693
0.0001,15,0.012247927933197867,delta_h2,-4.608412090909706,-4.608412090909706,-4.608412090909706,-0.07049110510681089,-4.67890319601652,-0.07049110510681444
0.0001,15,0.012247927933197867,delta_h3,2.245106338091782,2.245106338091782,2.245106338091782,-10.065939855401394,-7.820833517309612,-10.065939855401394
0.0001,16,0.012414620944861114,delta_h1,18.981122707224866,18.981122707224866,18.981122707224866,4.489250976608696,23.470373683833564,4.489250976608698
0.0001,16,0.012414620944861114,delta_h2,-4.547914336876595,-4.547914336876595,-4.547914336876595,-0.10367565890870978,-4.651589995785301,-0.10367565890870623
0.0001,16,0.012414620944861114,delta_h3,2.230306146426916,2.230306146426916,2.230306146426916,-10.062353717303711,-7.832047570876796,-10.062353717303711
0.0001,17,0.012583582630890256,delta_h1,18.602901468626545,18.602901468626545,18.602901468626545,4.454340588505176,23.05724205713172,4.4543405885051754
0.0001,17,0.012583582630890256,delta_h2,-4.488192497292033,-4.488192497292033,-4.488192497292033,-0.13823904909127194,-4.6264315463833015,-0.13823904909126838
0.0001,17,0.012583582630890256,delta_h3,2.215599409208916,2.215599409208916,2.215599409208916,-10.058507777449233,-7.842908368240316,-10.058507777449233
0.0001,18,0.012754843867704927,delta_h1,18.232180089142116,18.232180089142116,18.232180089142116,4.419010725594922,22.65119081473704,4.419010725594923
0.0001,18,0.012754843867704927,delta_h2,-4.429237107711468,-4.429237107711468,-4.429237107711468,-0.1740415611692363,-4.603278668880709,-0.17404156116924074
0.0001,18,0.012754843867704927,delta_h3,2.200985613898395,2.200985613898395,2.200985613898395,-10.054399457324687,-7.853413843426291,-10.054399457324687
0.0001,19,0.012928435951949584,delta_h1,17.868811067204124,17.868811067204124,17.868811067204124,4.383192955467039,22.252004022671166,4.383192955467042
0.0001,19,0.012928435951949584,delta_h2,-4.371038806540755,-4.371038806540755,-4.371038806540755,-0.2109452673355321,-4.581984073876285,-0.21094526733553032
0.0001,19,0.012928435951949584,delta_h3,2.186464249466131,2.186464249466131,2.186464249466131,-10.050018986912157,-7.863554737446026,-10.050018986912157
0.0001,20,0.013104390606212738,delta_h1,17.512649761844404,17.512649761844404,17.512649761844404,4.3468895214444885,21.85953928328889,4.346889521444485
0.0001,20,0.013104390606212738,delta_h2,-4.3135883337133984,-4.3135883337133984,-4.3135883337133984,-0.24881446814132957,-4.562402801854727,-0.24881446814132868
0.0001,20,0.013104390606212738,delta_h3,2.172034806275533,2.172034806275533,2.172034806275533,-10.045360389770023,-7.87332558349449,-10.045360389770023
0.0001,21,0.013282739984823986,delta_h1,17.163554338562733,17.163554338562733,17.163554338562733,4.310057610399374,21.47361194896211,4.310057610399376
0.0001,21,0.013282739984823986,delta_h2,-4.256876529948567,-4.256876529948567,-4.256876529948567,-0.28752542198413167,-4.544401951932699,-0.28752542198413167
0.0001,21,0.013282739984823986,delta_h3,2.1576967761064836,2.1576967761064836,2.1576967761064836,-10.040409520930297,-7.882712744823812,-10.040409520930297
0.0001,22,0.01346351667972996,delta_h1,16.821385716166038,16.821385716166038,16.821385716166038,4.272661162081524,21.09404687824756,4.272661162081523
0.0001,22,0.01346351667972996,delta_h2,-4.20089433599933,-4.20089433599933,-4.20089433599933,-0.32688720718628517,-4.527781543185608,-0.32688720718627806
0.0001,22,0.01346351667972996,delta_h3,2.1434496521767263,2.1434496521767263,2.1434496521767263,-10.035175765478899,-7.891726113302172,-10.035175765478899
0.0001,23,0.013646753726450285,delta_h1,16.486007514600523,16.486007514600523,16.486007514600523,4.234693824911894,20.720701339512416,4.2346938249118935
0.0001,23,0.013646753726450285,delta_h2,-4.145632791910344,-4.145632791910344,-4.145632791910344,-0.3667931883288986,-4.512425980239247,-0.3667931883289022
0.0001,23,0.013646753726450285,delta_h3,2.129292929169656,2.129292929169656,2.129292929169656,-10.02963557508574,-7.900342645916084,-10.02963557508574
0.0001,24,0.013832484610114515,delta_h1,16.157286003674777,16.157286003674777,16.157286003674777,4.1961162683244355,20.35340227199921,4.196116268324435
0.0001,24,0.013832484610114515,delta_h2,-4.091083036243272,-4.091083036243272,-4.091083036243272,-0.4070932497555724,-4.4981762859988415,-0.4070932497555697
0.0001,24,0.013832484610114515,delta_h3,2.1152261032484216,2.1152261032484216,2.1152261032484216,-10.023783318996939,-7.908557215748517,-10.023783318996939
