temp_index,T_K,t_eval_s,omega_q_t_eval,free_fidelity,free_distinguishability,sn_init_h1,sn_init_h2,sn_init_h3,qg_init_h1,qg_init_h2,qg_init_h3
93,2.2345315095292876e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
94,2.2539339047347888e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
95,2.2735047705741187e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
96,2.2932455698746282e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
97,2.3131577781653697e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
98,2.3332428837874014e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
99,2.3535023880050004e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
100,2.3739378051179118e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
101,2.3945506625744983e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
102,2.4153425010859467e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
103,2.4363148747413963e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
104,2.457469351124113e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
105,2.4788075114286736e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
106,2.500330950579118e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
107,2.5220412773482013e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
108,2.5439401144776076e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
109,2.5660290987992564e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
110,2.588309881357663e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
