branch_id,temp_index,T_K,Omega_q_over_2pi_Hz,det_V_SN_recon,iterations
0.0,328.0,0.00017042740224722168,0.06252151878417592,-9.648563568357672e-05,2.0
0.0,328.5,0.00017116571199810094,0.06262613332103116,-9.078987366650764e-05,1.0
0.0,329.0,0.00017190722018585745,0.06273228138181323,-8.231282526703465e-05,2.0
0.0,329.5,0.00017265194066646208,0.06284013532490364,-9.884466114193828e-05,1.0
0.0,330.0,0.00017339988735591143,0.06294927771135149,-2.484197850787492e-05,2.0
0.0,330.5,0.00017415107423048755,0.06306028615308716,-2.851792317841674e-08,2.0
0.0,331.0,0.0001749055153270193,0.06317315802169923,-9.262138475662374e-06,2.0
0.0,331.5,0.00017566322474314462,0.0632877002479879,-1.0467168681259352e-06,2.0
0.0,332.0,0.0001764242166375738,0.06340424796960886,-4.1762370110952246e-05,2.0
0.0,332.5,0.00017718850523035405,0.06352230153421484,-5.858772493756909e-07,2.0
0.0,333.0,0.00017795610480313574,0.06364273598638698,-7.82674297731373e-05,2.0
0.0,333.5,0.00017872702969943882,0.06376445630486853,-6.125865971223891e-07,2.0
0.0,334.0,0.00017950129432492062,0.06388890548957167,-9.931471878684784e-05,2.0
0.0,334.5,0.00018027891314764536,0.06401453744332462,-6.144333782983975e-07,2.0
0.0,335.0,0.00018105990069835465,0.06414301990036908,-7.86878121022917e-05,2.0
0.0,335.5,0.00018184427157073876,0.06427295939881202,-9.142731633598101e-07,2.0
0.0,336.0,0.00018263204042170934,0.06440542430616371,3.714794639637413e-07,2.0
0.0,336.5,0.0001834232219716734,0.06454014580377426,-6.460614304078094e-07,2.0
0.0,337.0,0.00018421783100480832,0.06467728873558201,-2.5222646488542204e-05,2.0
0.0,337.5,0.0001850158823693381,0.06481657584637919,-4.835384327409994e-07,2.0
0.0,338.0,0.00018581739097781082,0.06495872884199423,-7.049717788954122e-05,2.0
0.0,338.5,0.00018662237180737748,0.06510273980579037,-2.69440636400055e-06,2.0
0.0,339.0,0.00018743083990007146,0.06524964654438095,-2.2436843970142774e-06,3.0
0.0,339.5,0.00018824281036308981,0.06539918951459389,-3.0155312946511693e-06,2.0
0.0,340.0,0.00018905829836907587,0.06555182827369106,-7.923814207792468e-05,2.0
0.0,340.5,0.00018987731915640226,0.06570649268646411,-9.300708447890068e-07,2.0
0.0,341.0,0.00019069988802945597,0.06586440061775697,-2.139739950961792e-06,2.0
0.0,341.5,0.00019152602035892418,0.06602527213245739,-7.222246330594501e-07,2.0
0.0,342.0,0.00019235573158208155,0.06618940434864917,-4.124661211445381e-05,2.0
0.0,342.5,0.00019318903720307867,0.06635624150401456,-1.2564292002864403e-06,2.0
0.0,343.0,0.00019402595279323172,0.06652699147957741,-9.078785129500625e-05,2.0
0.0,343.5,0.0001948664939913137,0.06670013480625896,-1.2584911966231053e-06,2.0
0.0,344.0,0.00019571067650384617,0.06687769025961536,-9.640173203555078e-05,2.0
0.0,344.5,0.00019655851610539293,0.06705776351656133,1.4626087921977112e-07,2.0
0.0,345.0,0.00019741002863885525,0.06724245257378914,-8.234019510027447e-05,1.0
0.0,345.5,0.0001982652300157676,0.06743001868161665,-1.7223332864701938e-06,2.0
0.0,346.0,0.0001991241362165945,0.06762214618930724,-3.778985886196856e-05,2.0
0.0,346.5,0.00019998676329102964,0.0678178679628571,-2.3516453393042054e-06,2.0
0.0,347.0,0.00020085312735829592,0.06801851014876399,-9.3959935240128e-05,2.0
0.0,347.5,0.00020172324460744634,0.06822237885490377,-1.8569727012623565e-06,2.0
0.0,348.0,0.00020259713129766659,0.06843176748787033,-8.33731394967354e-05,2.0
0.0,348.5,0.00020347480375857902,0.06864474842905584,-2.083709269459923e-06,2.0
0.0,349.0,0.00020435627839054742,0.06886305049775018,-6.103554851959822e-06,2.0
0.0,349.5,0.00020524157166498363,0.06908627027702965,-2.9611825845658867e-06,2.0
0.0,350.0,0.00020613070012465582,0.06931511889883064,-7.021927339471106e-05,2.0
0.0,350.5,0.0002070236803839972,0.06954838962696464,-1.3025305055558578e-06,2.0
0.0,351.0,0.00020792052912941607,0.06978834535085955,-9.912598153866435e-05,2.0
0.0,351.5,0.0002088212631196081,0.07003278622203658,-3.1890818038694216e-06,2.0
0.0,352.0,0.00020972589918586969,0.07028386019299952,-2.53657096727643e-06,2.0
0.0,352.5,0.00021063445423241212,0.07054122583136956,-3.1051046266953e-06,2.0
0.0,353.0,0.00021154694523667746,0.07080555405074233,-6.57009964396749e-05,2.0
0.0,353.5,0.00021246338924965603,0.07107578874178691,-3.7795083532274848e-06,2.0
0.0,354.0,0.00021338380339620467,0.07135426978846257,-9.390874961129063e-05,2.0
0.0,354.5,0.00021430820487536672,0.07163880456786482,-4.507322109509888e-06,2.0
0.0,355.0,0.0002152366109606942,0.07193183251694732,-8.4929177213346e-06,2.0
0.0,355.5,0.0002161690390005699,0.07223293417840755,-5.021362514252372e-06,2.0
0.0,356.0,0.00021710550641853126,0.07254326544624287,-8.611313539699824e-05,2.0
0.0,356.5,0.00021804603071359647,0.07286120942842729,-5.820437864396329e-06,2.0
0.0,357.0,0.0002189906294605915,0.07318956364461937,-4.274841171853894e-05,2.0
0.0,357.5,0.00021993932031047833,0.07352716857008755,-6.759899342057262e-06,2.0
0.0,358.0,0.00022089212099068474,0.0738759698134097,-5.367298796855773e-05,2.0
0.0,358.5,0.0002218490493054356,0.0742349236361234,-7.510893234955643e-06,2.0
0.0,359.0,0.00022281012313608565,0.07460662518630919,-7.876666677963488e-05,2.0
0.0,359.5,0.00022377536044145357,0.07498927622399355,-8.760518264822265e-06,2.0
0.0,360.0,0.0002247447792581575,0.07538601389214833,-3.8439461936007345e-05,2.0
0.0,360.5,0.0002257183977009523,0.075796046488802,-9.80378997708598e-06,2.0
0.0,361.0,0.00022669623396306764,0.07622194937252848,-7.809996861834939e-05,2.0
0.0,361.5,0.00022767830631654815,0.07666213030463337,-1.2252175208962541e-05,2.0
0.0,362.0,0.00022866463311259529,0.07712037305237475,-4.6746869030642555e-05,2.0
0.0,362.5,0.00022965523278190995,0.07759594392019259,-1.4489140392426352e-05,2.0
0.0,363.0,0.00023065012383503632,0.0780917801333287,-4.1866326790070145e-05,2.0
0.0,363.5,0.00023164932486270833,0.07860799570537003,-1.7321149819244493e-05,2.0
0.0,364.0,0.0002326528545361972,0.0791481928846196,-7.836046995133805e-05,2.0
0.0,364.5,0.00023366073160766002,0.07971150834577315,-2.1514762903471144e-05,2.0
0.0,365.0,0.0002346729749104902,0.08030263343199973,-1.9537602011201793e-05,2.0
0.0,365.5,0.00023568960335966954,0.08092359082862839,-2.716742434156786e-05,2.0
0.0,366.0,0.00023671063595212134,0.08157722483333663,-3.3304998024948e-05,2.0
0.0,366.5,0.0002377360917670655,0.08226703441534486,-3.4356572817243956e-05,2.0
0.0,367.0,0.00023876598996637558,0.08299808591466755,-7.645731673377559e-05,2.0
0.0,367.5,0.00023980034979493648,0.08377320684560909,-4.374591369453587e-05,2.0
0.0,368.0,0.00024083919058100344,0.08460126716729766,-7.691567911282238e-05,2.0
0.0,368.5,0.000241882531736564,0.08548751334484178,-6.075117767089609e-05,2.0
0.0,369.0,0.00024293039275770066,0.08644300150269296,-7.179494231618528e-05,2.0
0.0,369.5,0.00024398279322495497,0.08747957899643335,-8.980110364547217e-05,2.0
0.0,370.0,0.00024503975280369347,0.08861190596412699,-6.465793279787605e-05,2.0
0.0,370.5,0.0002461012912444753,0.08986188243083192,-8.346720897766212e-06,3.0
0.0,371.0,0.0002471674283834208,0.0912639727181631,-4.783556600079192e-06,2.0
0.0,371.5,0.00024823818414258255,0.0928653705426737,-2.260347384471819e-05,3.0
